0	1000	-0.00981
0.001	1000	-0.01962
0.002	1000	-0.02943
0.003	1000	-0.03924
0.004	1000	-0.04905
0.005	1000	-0.05886
0.006	1000	-0.06867
0.007	1000	-0.07848
0.008	1000	-0.0882899
0.009	1000	-0.0980999
0.01	999.999	-0.10791
0.011	999.999	-0.11772
0.012	999.999	-0.12753
0.013	999.999	-0.13734
0.014	999.999	-0.14715
0.015	999.999	-0.15696
0.016	999.999	-0.16677
0.017	999.998	-0.17658
0.018	999.998	-0.186389
0.019	999.998	-0.196199
0.02	999.998	-0.206009
0.021	999.998	-0.215819
0.022	999.997	-0.225629
0.023	999.997	-0.235439
0.024	999.997	-0.245249
0.025	999.997	-0.255059
0.026	999.996	-0.264868
0.027	999.996	-0.274678
0.028	999.996	-0.284488
0.029	999.996	-0.294298
0.03	999.995	-0.304108
0.031	999.995	-0.313917
0.032	999.995	-0.323727
0.033	999.994	-0.333537
0.034	999.994	-0.343347
0.035	999.994	-0.353156
0.036	999.993	-0.362966
0.037	999.993	-0.372776
0.038	999.993	-0.382585
0.039	999.992	-0.392395
0.04	999.992	-0.402204
0.041	999.991	-0.412014
0.042	999.991	-0.421824
0.043	999.991	-0.431633
0.044	999.99	-0.441443
0.045	999.99	-0.451252
0.046	999.989	-0.461062
0.047	999.989	-0.470871
0.048	999.988	-0.480681
0.049	999.988	-0.49049
0.05	999.987	-0.500299
0.051	999.987	-0.510109
0.052	999.986	-0.519918
0.053	999.986	-0.529727
0.054	999.985	-0.539537
0.055	999.985	-0.549346
0.056	999.984	-0.559155
0.057	999.983	-0.568964
0.058	999.983	-0.578774
0.059	999.982	-0.588583
0.06	999.982	-0.598392
0.061	999.981	-0.608201
0.062	999.981	-0.61801
0.063	999.98	-0.627819
0.064	999.979	-0.637628
0.065	999.979	-0.647437
0.066	999.978	-0.657246
0.067	999.977	-0.667055
0.068	999.977	-0.676864
0.069	999.976	-0.686672
0.07	999.975	-0.696481
0.071	999.975	-0.70629
0.072	999.974	-0.716099
0.073	999.973	-0.725908
0.074	999.972	-0.735716
0.075	999.972	-0.745525
0.076	999.971	-0.755333
0.077	999.97	-0.765142
0.078	999.969	-0.77495
0.079	999.969	-0.784759
0.08	999.968	-0.794567
0.081	999.967	-0.804376
0.082	999.966	-0.814184
0.083	999.965	-0.823992
0.084	999.965	-0.833801
0.085	999.964	-0.843609
0.086	999.963	-0.853417
0.087	999.962	-0.863225
0.088	999.961	-0.873033
0.089	999.96	-0.882842
0.09	999.959	-0.89265
0.091	999.958	-0.902458
0.092	999.958	-0.912265
0.093	999.957	-0.922073
0.094	999.956	-0.931881
0.095	999.955	-0.941689
0.096	999.954	-0.951497
0.097	999.953	-0.961305
0.098	999.952	-0.971112
0.099	999.951	-0.98092
0.1	999.95	-0.990727
0.101	999.949	-1.00053
0.102	999.948	-1.01034
0.103	999.947	-1.02015
0.104	999.946	-1.02996
0.105	999.945	-1.03976
0.106	999.944	-1.04957
0.107	999.943	-1.05938
0.108	999.942	-1.06919
0.109	999.941	-1.07899
0.11	999.94	-1.0888
0.111	999.938	-1.09861
0.112	999.937	-1.10841
0.113	999.936	-1.11822
0.114	999.935	-1.12803
0.115	999.934	-1.13783
0.116	999.933	-1.14764
0.117	999.932	-1.15745
0.118	999.931	-1.16725
0.119	999.929	-1.17706
0.12	999.928	-1.18687
0.121	999.927	-1.19667
0.122	999.926	-1.20648
0.123	999.925	-1.21629
0.124	999.923	-1.22609
0.125	999.922	-1.2359
0.126	999.921	-1.24571
0.127	999.92	-1.25551
0.128	999.918	-1.26532
0.129	999.917	-1.27512
0.13	999.916	-1.28493
0.131	999.915	-1.29474
0.132	999.913	-1.30454
0.133	999.912	-1.31435
0.134	999.911	-1.32415
0.135	999.909	-1.33396
0.136	999.908	-1.34376
0.137	999.907	-1.35357
0.138	999.905	-1.36337
0.139	999.904	-1.37318
0.14	999.902	-1.38299
0.141	999.901	-1.39279
0.142	999.9	-1.4026
0.143	999.898	-1.4124
0.144	999.897	-1.42221
0.145	999.895	-1.43201
0.146	999.894	-1.44182
0.147	999.893	-1.45162
0.148	999.891	-1.46142
0.149	999.89	-1.47123
0.15	999.888	-1.48103
0.151	999.887	-1.49084
0.152	999.885	-1.50064
0.153	999.884	-1.51045
0.154	999.882	-1.52025
0.155	999.881	-1.53006
0.156	999.879	-1.53986
0.157	999.878	-1.54966
0.158	999.876	-1.55947
0.159	999.874	-1.56927
0.16	999.873	-1.57908
0.161	999.871	-1.58888
0.162	999.87	-1.59868
0.163	999.868	-1.60849
0.164	999.866	-1.61829
0.165	999.865	-1.62809
0.166	999.863	-1.6379
0.167	999.862	-1.6477
0.168	999.86	-1.6575
0.169	999.858	-1.66731
0.17	999.857	-1.67711
0.171	999.855	-1.68691
0.172	999.853	-1.69671
0.173	999.852	-1.70652
0.174	999.85	-1.71632
0.175	999.848	-1.72612
0.176	999.846	-1.73593
0.177	999.845	-1.74573
0.178	999.843	-1.75553
0.179	999.841	-1.76533
0.18	999.839	-1.77513
0.181	999.838	-1.78494
0.182	999.836	-1.79474
0.183	999.834	-1.80454
0.184	999.832	-1.81434
0.185	999.83	-1.82414
0.186	999.829	-1.83395
0.187	999.827	-1.84375
0.188	999.825	-1.85355
0.189	999.823	-1.86335
0.19	999.821	-1.87315
0.191	999.819	-1.88295
0.192	999.817	-1.89275
0.193	999.815	-1.90255
0.194	999.814	-1.91236
0.195	999.812	-1.92216
0.196	999.81	-1.93196
0.197	999.808	-1.94176
0.198	999.806	-1.95156
0.199	999.804	-1.96136
