   1.0000000000000001e-01	  -1.8156789614288932e+01
   1.0000000000000000e-02	  -2.7329989217802545e+01
   1.0000000000000000e-03	  -2.9594763994970300e+01
   1.0000000000000000e-04	  -2.6295008422386697e+01
   1.0000000000000001e-05	  -2.4412887112381839e+01
   1.0000000000000002e-06	  -2.1813494022611234e+01
   1.0000000000000002e-07	  -1.9810972432016335e+01
   1.0000000000000002e-08	  -1.8290774421371228e+01
   1.0000000000000003e-09	  -1.6783307076759982e+01
   1.0000000000000003e-10	  -1.3210727705138289e+01
